ID,Lat,Lon
270,-100.76,48.95
271,-100.72,48.95
272,-100.68,48.95
273,-100.64,48.95
274,-100.6,48.95
275,-100.56,48.95
276,-100.52,48.95
277,-100.48,48.95
278,-100.44,48.95
279,-100.4,48.95
280,-100.36,48.95
281,-100.32,48.95
282,-100.28,48.95
283,-100.24,48.95
284,-100.2,48.95
285,-100.16,48.95
286,-100.12,48.95
287,-100.08,48.95
288,-100.04,48.95
289,-100.0,48.95
290,-99.96,48.95
291,-99.92,48.95
292,-99.88,48.95
293,-99.84,48.95
294,-99.8,48.95
295,-99.76,48.95
296,-99.72,48.95
297,-99.68,48.95
298,-99.64,48.95
299,-99.6,48.95
300,-99.56,48.95
301,-99.52,48.95
302,-99.48,48.95
303,-99.44,48.95
304,-99.4,48.95
305,-99.36,48.95
306,-99.32,48.95
307,-99.28,48.95
308,-99.24,48.95
309,-99.2,48.95
310,-99.16,48.95
311,-99.12,48.95
312,-99.08,48.95
313,-99.04,48.95
314,-99.0,48.95
315,-98.96,48.95
316,-98.92,48.95
317,-98.88,48.95
318,-98.84,48.95
319,-98.8,48.95
320,-98.76,48.95
321,-98.72,48.95
322,-98.68,48.95
323,-98.64,48.95
324,-98.6,48.95
325,-98.56,48.95
326,-98.52,48.95
327,-98.48,48.95
328,-98.44,48.95
329,-98.4,48.95
330,-98.36,48.95
331,-98.32,48.95
332,-98.28,48.95
333,-98.24,48.95
334,-98.2,48.95
335,-98.16,48.95
336,-98.12,48.95
337,-98.08,48.95
338,-98.04,48.95
339,-98.0,48.95
340,-97.96,48.95
341,-97.92,48.95
342,-97.88,48.95
343,-97.84,48.95
344,-97.8,48.95
345,-97.76,48.95
346,-97.72,48.95
347,-97.68,48.95
348,-97.64,48.95
349,-97.6,48.95
350,-97.56,48.95
351,-97.52,48.95
352,-97.48,48.95
353,-97.44,48.95
354,-97.4,48.95
355,-97.36,48.95
356,-97.32,48.95
357,-97.28,48.95
358,-97.24,48.95
359,-97.2,48.95
376,-104.04,48.91
377,-104.0,48.91
378,-103.96,48.91
379,-103.92,48.91
380,-103.88,48.91
381,-103.84,48.91
382,-103.8,48.91
383,-103.76,48.91
384,-103.72,48.91
385,-103.68,48.91
386,-103.64,48.91
387,-103.6,48.91
388,-103.56,48.91
389,-103.52,48.91
390,-103.48,48.91
391,-103.44,48.91
392,-103.4,48.91
393,-103.36,48.91
394,-103.32,48.91
395,-103.28,48.91
396,-103.24,48.91
397,-103.2,48.91
398,-103.16,48.91
399,-103.12,48.91
400,-103.08,48.91
401,-103.04,48.91
402,-103.0,48.91
