ID,Lat,Lon
864,-123.61,42.02
865,-123.57,42.02
866,-123.53,42.02
867,-123.49,42.02
868,-123.45,42.02
869,-123.41,42.02
870,-123.37,42.02
871,-123.33,42.02
872,-123.29,42.02
873,-123.25,42.02
874,-123.21,42.02
875,-123.17,42.02
876,-123.13,42.02
877,-123.09,42.02
878,-123.05,42.02
879,-123.01,42.02
880,-122.97,42.02
881,-122.93,42.02
882,-122.89,42.02
883,-122.85,42.02
884,-122.81,42.02
885,-122.77,42.02
886,-122.73,42.02
887,-122.69,42.02
888,-122.65,42.02
889,-122.61,42.02
890,-122.57,42.02
891,-122.53,42.02
892,-122.49,42.02
893,-122.45,42.02
894,-122.41,42.02
895,-122.37,42.02
896,-122.33,42.02
897,-122.29,42.02
898,-122.25,42.02
899,-122.21,42.02
900,-122.17,42.02
901,-122.13,42.02
902,-122.09,42.02
903,-122.05,42.02
904,-122.01,42.02
905,-121.97,42.02
906,-121.93,42.02
907,-121.89,42.02
908,-121.85,42.02
909,-121.81,42.02
910,-121.77,42.02
911,-121.73,42.02
912,-121.69,42.02
913,-121.65,42.02
914,-121.61,42.02
915,-121.57,42.02
1126,-124.21,41.98
1127,-124.17,41.98
1128,-124.13,41.98
1129,-124.09,41.98
1130,-124.05,41.98
1131,-124.01,41.98
1132,-123.97,41.98
1133,-123.93,41.98
1134,-123.89,41.98
1135,-123.85,41.98
1136,-123.81,41.98
1137,-123.77,41.98
1138,-123.73,41.98
1139,-123.69,41.98
1140,-123.65,41.98
1141,-123.61,41.98
1142,-123.57,41.98
1143,-123.53,41.98
1144,-123.49,41.98
1145,-123.45,41.98
1146,-123.41,41.98
1147,-123.37,41.98
1148,-123.33,41.98
1149,-123.29,41.98
1150,-123.25,41.98
1151,-123.21,41.98
1152,-123.17,41.98
1153,-123.13,41.98
1154,-123.09,41.98
1155,-123.05,41.98
1156,-123.01,41.98
1157,-122.97,41.98
1158,-122.93,41.98
1159,-122.89,41.98
1160,-122.85,41.98
1161,-122.81,41.98
1162,-122.77,41.98
1163,-122.73,41.98
1164,-122.69,41.98
1165,-122.65,41.98
1166,-122.61,41.98
1167,-122.57,41.98
1168,-122.53,41.98
1169,-122.49,41.98
1170,-122.45,41.98
1171,-122.41,41.98
1172,-122.37,41.98
1173,-122.33,41.98
1174,-122.29,41.98
1175,-122.25,41.98
1176,-122.21,41.98
1177,-122.17,41.98
1178,-122.13,41.98
1179,-122.09,41.98
1180,-122.05,41.98
1181,-122.01,41.98
1182,-121.97,41.98
1183,-121.93,41.98
1184,-121.89,41.98
1185,-121.85,41.98
1186,-121.81,41.98
1187,-121.77,41.98
1188,-121.73,41.98
1189,-121.69,41.98
1190,-121.65,41.98
1191,-121.61,41.98
1192,-121.57,41.98
1193,-121.53,41.98
1194,-121.49,41.98
1195,-121.45,41.98
1196,-121.41,41.98
1197,-121.37,41.98
1198,-121.33,41.98
1199,-121.29,41.98
1200,-121.25,41.98
1201,-121.21,41.98
1202,-121.17,41.98
1203,-121.13,41.98
1204,-121.09,41.98
1205,-121.05,41.98
1206,-121.01,41.98
1207,-120.97,41.98
1208,-120.93,41.98
1209,-120.89,41.98
1210,-120.85,41.98
1211,-120.81,41.98
1212,-120.77,41.98
1213,-120.73,41.98
1214,-120.69,41.98
1215,-120.65,41.98
1216,-120.61,41.98
1217,-120.57,41.98
1218,-120.53,41.98
1219,-120.49,41.98
1220,-120.45,41.98
1221,-120.41,41.98
1222,-120.37,41.98
1223,-120.33,41.98
1224,-120.29,41.98
1225,-120.25,41.98
1226,-120.21,41.98
1227,-120.17,41.98
1228,-120.13,41.98
1229,-120.09,41.98
1230,-120.05,41.98
1231,-120.01,41.98
1403,-124.21,41.94
1404,-124.17,41.94
