ID,Lat,Lon
292,-76.66,39.64
293,-76.62,39.64
294,-76.58,39.64
295,-76.54,39.64
296,-76.5,39.64
297,-76.46,39.64
298,-76.42,39.64
299,-76.38,39.64
300,-76.34,39.64
301,-76.3,39.64
302,-76.26,39.64
303,-76.22,39.64
304,-76.18,39.64
305,-76.14,39.64
306,-76.1,39.64
307,-76.06,39.64
308,-76.02,39.64
309,-75.98,39.64
310,-75.94,39.64
311,-75.9,39.64
312,-75.86,39.64
313,-75.82,39.64
314,-75.78,39.64
333,-79.46,39.6
334,-79.42,39.6
335,-79.38,39.6
336,-79.34,39.6
337,-79.3,39.6
338,-79.26,39.6
339,-79.22,39.6
340,-79.18,39.6
341,-79.14,39.6
342,-79.1,39.6
343,-79.06,39.6
344,-79.02,39.6
345,-78.98,39.6
346,-78.94,39.6
347,-78.9,39.6
348,-78.86,39.6
349,-78.82,39.6
350,-78.78,39.6
351,-78.74,39.6
352,-78.7,39.6
353,-78.66,39.6
354,-78.62,39.6
355,-78.58,39.6
356,-78.54,39.6
357,-78.5,39.6
358,-78.46,39.6
359,-78.42,39.6
360,-78.38,39.6
362,-78.3,39.6
363,-78.26,39.6
369,-78.02,39.6
370,-77.98,39.6
371,-77.94,39.6
372,-77.9,39.6
373,-77.86,39.6
374,-77.82,39.6
375,-77.78,39.6
376,-77.74,39.6
377,-77.7,39.6
378,-77.66,39.6
379,-77.62,39.6
380,-77.58,39.6
381,-77.54,39.6
382,-77.5,39.6
383,-77.46,39.6
384,-77.42,39.6
385,-77.38,39.6
386,-77.34,39.6
387,-77.3,39.6
388,-77.26,39.6
389,-77.22,39.6
390,-77.18,39.6
391,-77.14,39.6
392,-77.1,39.6
393,-77.06,39.6
394,-77.02,39.6
395,-76.98,39.6
396,-76.94,39.6
397,-76.9,39.6
398,-76.86,39.6
399,-76.82,39.6
400,-76.78,39.6
401,-76.74,39.6
402,-76.7,39.6
403,-76.66,39.6
404,-76.62,39.6
405,-76.58,39.6
406,-76.54,39.6
407,-76.5,39.6
408,-76.46,39.6
409,-76.42,39.6
410,-76.38,39.6
411,-76.34,39.6
412,-76.3,39.6
413,-76.26,39.6
414,-76.22,39.6
415,-76.18,39.6
416,-76.14,39.6
417,-76.1,39.6
418,-76.06,39.6
419,-76.02,39.6
420,-75.98,39.6
421,-75.94,39.6
422,-75.9,39.6
423,-75.86,39.6
424,-75.82,39.6
425,-75.78,39.6
444,-79.46,39.56
445,-79.42,39.56
446,-79.38,39.56
447,-79.34,39.56
448,-79.3,39.56
449,-79.26,39.56
450,-79.22,39.56
451,-79.18,39.56
452,-79.14,39.56
453,-79.1,39.56
454,-79.06,39.56
455,-79.02,39.56
456,-78.98,39.56
457,-78.94,39.56
458,-78.9,39.56
459,-78.86,39.56
460,-78.82,39.56
462,-78.74,39.56
463,-78.7,39.56
464,-78.66,39.56
465,-78.62,39.56
466,-78.58,39.56
467,-78.54,39.56
468,-78.5,39.56
469,-78.46,39.56
470,-78.42,39.56
471,-78.38,39.56
483,-77.9,39.56
484,-77.86,39.56
485,-77.82,39.56
486,-77.78,39.56
487,-77.74,39.56
488,-77.7,39.56
489,-77.66,39.56
490,-77.62,39.56
491,-77.58,39.56
492,-77.54,39.56
493,-77.5,39.56
494,-77.46,39.56
495,-77.42,39.56
496,-77.38,39.56
497,-77.34,39.56
498,-77.3,39.56
499,-77.26,39.56
500,-77.22,39.56
501,-77.18,39.56
502,-77.14,39.56
503,-77.1,39.56
504,-77.06,39.56
505,-77.02,39.56
506,-76.98,39.56
507,-76.94,39.56
508,-76.9,39.56
509,-76.86,39.56
510,-76.82,39.56
511,-76.78,39.56
512,-76.74,39.56
513,-76.7,39.56
514,-76.66,39.56
515,-76.62,39.56
516,-76.58,39.56
517,-76.54,39.56
518,-76.5,39.56
519,-76.46,39.56
520,-76.42,39.56
521,-76.38,39.56
522,-76.34,39.56
523,-76.3,39.56
524,-76.26,39.56
525,-76.22,39.56
526,-76.18,39.56
527,-76.14,39.56
528,-76.1,39.56
529,-76.06,39.56
530,-76.02,39.56
531,-75.98,39.56
532,-75.94,39.56
533,-75.9,39.56
534,-75.86,39.56
535,-75.82,39.56
536,-75.78,39.56
555,-79.46,39.52
556,-79.42,39.52
557,-79.38,39.52
558,-79.34,39.52
559,-79.3,39.52
560,-79.26,39.52
561,-79.22,39.52
562,-79.18,39.52
563,-79.14,39.52
564,-79.1,39.52
565,-79.06,39.52
566,-79.02,39.52
567,-78.98,39.52
568,-78.94,39.52
569,-78.9,39.52
570,-78.86,39.52
574,-78.7,39.52
575,-78.66,39.52
576,-78.62,39.52
577,-78.58,39.52
578,-78.54,39.52
579,-78.5,39.52
580,-78.46,39.52
581,-78.42,39.52
595,-77.86,39.52
596,-77.82,39.52
597,-77.78,39.52
598,-77.74,39.52
599,-77.7,39.52
600,-77.66,39.52
601,-77.62,39.52
602,-77.58,39.52
